ADDRESS,ADMIN_DIST,ATS_CODE,BORO,BORONUM,City,FAX,GEO_DISTRI,GRADES,LOC_CODE,MANAGED_BY,PRINCIPAL,PRIN_PH,SCHOOLNAME,SCH_TYPE,STATE_CODE,ZIP,geometry,lat,lon,index_right,index,uhf34,mood1,mood2,mood3,mood4,mood5,mood6,agg_mood,nspd,Total Enrollment
309 47 STREET,15.0,15K001 ,K,2.0,BROOKLYN,718-567-9771,15,"PK,0K,01,02,03,04,05,SE",K001,1.0,Jennifer Eusanio,718-567-7661,P.S. 001 THE BERGEN,Elementary,NY,11220,POINT (-74.01176589685977 40.64915359571094),40.6491535957,-74.0117658969,8.0,9.0,9.0,4.31640625,4.345703125,4.2255859375,4.611328125,3.85239491691,4.677734375,6.66201453403,6.68647458268,1280.0
655 PARKSIDE AVENUE,17.0,17K002 ,K,2.0,BROOKLYN,718-284-7717,17,"06,07,08,SE",K002,1.0,ADRIENNE SPENCER,718-462-6992,M.S. 002,Junior High-Intermediate-Middle,NY,11226,POINT (-73.951218065105 40.65642068697075),40.656420687,-73.9512180651,10.0,11.0,11.0,4.42335766423,4.04094631483,4.23406193078,4.60746812386,4.00818926297,4.64539653601,6.41496610377,6.53152013594,475.0
345 VAN SICKLEN STREET,21.0,21K095 ,K,2.0,BROOKLYN,718-449-3047,21,"PK,0K,01,02,03,04,05,06,07,08,SE",K095,1.0,Janet Ndzibah,718-449-5050,P.S. 095 THE GRAVESEND,K-8,NY,11223,POINT (-73.97488433380778 40.59574496207723),40.5957449621,-73.9748843338,13.0,14.0,14.0,4.37473903967,4.01989528796,4.22779519331,4.61337513062,4.0355276907,4.72413793103,6.49883981342,5.82904349688,932.0
99 AVENUE P,21.0,21K096 ,K,2.0,BROOKLYN,718-236-2397,21,"06,07,08,SE",K096,1.0,Denise Sandra Levinsky,718-236-1344,I.S. 096 SETH LOW,Junior High-Intermediate-Middle,NY,11204,POINT (-73.98491098572097 40.60778712848697),40.6077871285,-73.9849109857,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,641.0
1855 STILLWELL AVENUE,21.0,21K097 ,K,2.0,BROOKLYN,718-372-3842,21,"PK,0K,01,02,03,04,05,SE",K097,1.0,KRISTINE MUSTILLO,718-372-7393,P.S. 97 THE HIGHLAWN,Elementary,NY,11223,POINT (-73.98575731504727 40.60125352010608),40.6012535201,-73.985757315,13.0,14.0,14.0,4.37473903967,4.01989528796,4.22779519331,4.61337513062,4.0355276907,4.72413793103,6.49883981342,5.82904349688,833.0
1401 EMMONS AVENUE,21.0,21K098 ,K,2.0,BROOKLYN,718-891-3865,21,"06,07,08,SE",K098,1.0,MARIA TIMO,718-891-9005,I.S. 98 BAY ACADEMY,Junior High-Intermediate-Middle,NY,11235,POINT (-73.95396970260187 40.58347977170845),40.5834797717,-73.9539697026,13.0,14.0,14.0,4.37473903967,4.01989528796,4.22779519331,4.61337513062,4.0355276907,4.72413793103,6.49883981342,5.82904349688,1493.0
1120 EAST  10 STREET,21.0,21K099 ,K,2.0,BROOKLYN,718-951-0418,21,"PK,0K,01,02,03,04,05,06,07,08,SE",K099,1.0,GREGORY PIRRAGLIA,718-338-9201,P.S. 099 ISAAC ASIMOV,K-8,NY,11230,POINT (-73.96587715295544 40.62149219677401),40.6214921968,-73.965877153,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,883.0
2951 WEST  3 STREET,21.0,21K100 ,K,2.0,BROOKLYN,718-266-7112,21,"PK,0K,01,02,03,04,05,SE",K100,1.0,Katherine A. Moloney,718-266-9477,P.S. 100 THE CONEY ISLAND SCHOOL,Elementary,NY,11224,POINT (-73.97095894358253 40.57757238723487),40.5775723872,-73.9709589436,13.0,14.0,14.0,4.37473903967,4.01989528796,4.22779519331,4.61337513062,4.0355276907,4.72413793103,6.49883981342,5.82904349688,761.0
2360 BENSON AVENUE,21.0,21K101 ,K,2.0,BROOKLYN,718-372-1873,21,"PK,0K,01,02,03,04,05,SE",K101,1.0,GREGG KORROL,718-372-0221,P.S. 101 THE VERRAZANO,Elementary,NY,11214,POINT (-73.99174960608802 40.59758226654303),40.5975822665,-73.9917496061,12.0,13.0,13.0,4.36958710977,4.27391742195,4.29305135952,4.63608870968,4.02527805865,4.74672048436,7.71822059233,5.40644744438,886.0
211 72 STREET,20.0,20K102 ,K,2.0,BROOKLYN,718-836-9265,20,"0K,01,02,03,04,05,SE",K102,1.0,Ms. Theresa Dovi,718-748-7404,P.S. 102 THE BAYVIEW,Elementary,NY,11209,POINT (-74.02894809814602 40.63417575281551),40.6341757528,-74.0289480981,12.0,13.0,13.0,4.36958710977,4.27391742195,4.29305135952,4.63608870968,4.02527805865,4.74672048436,7.71822059233,5.40644744438,1425.0
9115 5 AVENUE,20.0,20K104 ,K,2.0,BROOKLYN,718-836-9412,20,"0K,01,02,03,04,05,06,07,08,SE",K104,1.0,Ms. Marie DiBella,718-836-4630,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,K-8,NY,11209,POINT (-74.02865489846121 40.61813631690296),40.6181363169,-74.0286548985,12.0,13.0,13.0,4.36958710977,4.27391742195,4.29305135952,4.63608870968,4.02527805865,4.74672048436,7.71822059233,5.40644744438,1236.0
1031 59 STREET,20.0,20K105 ,K,2.0,BROOKLYN,718-853-9633,20,"PK,0K,01,02,03,04,05,SE",K105,1.0,JOHANNA CASTRONOVO,718-438-3230,P.S. 105 THE BLYTHEBOURNE,Elementary,NY,11219,POINT (-74.00361510164826 40.63315168140669),40.6331516814,-74.0036151016,9.0,10.0,10.0,4.34991974318,4.20224719101,4.19422150883,4.56982343499,4.06902086677,4.65008025682,6.65910094356,6.21263238185,1675.0
1328 PUTNAM AVENUE,32.0,32K106 ,K,2.0,BROOKLYN,718-574-1054,32,"PK,0K,01,02,03,04,05,SE",K106,1.0,ROBERT FLORES,718-574-0261,P.S. 106 EDWARD EVERETT HALE,Elementary,NY,11221,POINT (-73.91267159954783 40.69369960018323),40.6936996002,-73.9126715995,14.0,15.0,15.0,4.23070469799,3.93718592965,4.02181208054,4.53227158424,3.80637049455,4.5788590604,3.61574589668,0.941989999715,505.0
1301 8 AVENUE,15.0,15K107 ,K,2.0,BROOKLYN,718-965-6479,15,"PK,0K,01,02,03,04,05,SE",K107,1.0,CYNTHIA HOLTON,718-499-2054,P.S. 107 JOHN W. KIMBALL,Elementary,NY,11215,POINT (-73.9812046779644 40.66302671941055),40.6630267194,-73.981204678,5.0,6.0,6.0,4.32936507937,3.98543046358,4.09788359788,4.56821192053,4.0,4.63612217795,5.30194273408,3.9833051145,572.0
