specialistID,LOC_CODE,GEO_DISTRI,lat,lon,Total Enrollment
s017,K001,15,40.6491535957,-74.0117658969,1280.0
s023,K002,17,40.656420687,-73.9512180651,475.0
s049,K095,21,40.5957449621,-73.9748843338,932.0
s050,K096,21,40.6077871285,-73.9849109857,641.0
s049,K097,21,40.6012535201,-73.985757315,833.0
s051,K098,21,40.5834797717,-73.9539697026,1493.0
s050,K099,21,40.6214921968,-73.965877153,883.0
s051,K100,21,40.5775723872,-73.9709589436,761.0
s049,K101,21,40.5975822665,-73.9917496061,886.0
s058,K102,20,40.6341757528,-74.0289480981,1425.0
s058,K104,20,40.6181363169,-74.0286548985,1236.0
s059,K105,20,40.6331516814,-74.0036151016,1675.0
s012,K106,32,40.6936996002,-73.9126715995,505.0
s016,K107,15,40.6630267194,-73.981204678,572.0
s071,K108,19,40.6812722259,-73.8842895857,982.0
s099,K109,22,40.6367420023,-73.9329756808,695.0
s056,K110,14,40.7236582496,-73.9420427038,447.0
s060,K112,20,40.6194926704,-74.0006938992,614.0
s000,K113,13,40.6885127377,-73.9712455647,414.0
s021,K114,18,40.642614548,-73.9081442859,603.0
s097,K115,18,40.6348673575,-73.8975768051,1092.0
s012,K116,32,40.6980564844,-73.9165811406,522.0
s099,K119,22,40.6260377073,-73.9387406266,405.0
s055,K120,14,40.7006116501,-73.9377472307,429.0
s050,K121,21,40.6228896727,-73.9788096088,356.0
s011,K123,32,40.7039474665,-73.9225038875,737.0
s016,K124,15,40.6674942122,-73.9906976419,341.0
s057,K126,14,40.7197645385,-73.9483747606,372.0
s058,K127,20,40.6237923932,-74.0185988783,529.0
s050,K128,21,40.6050221614,-73.9954696031,425.0
s016,K130,15,40.6489288641,-73.9759181921,770.0
s017,K131,15,40.640783778,-73.9933455079,1085.0
s056,K132,14,40.7147620465,-73.9458867278,689.0
s003,K134,22,40.6322634364,-73.9732931142,549.0
s022,K135,18,40.6533468364,-73.9329737511,665.0
s017,K136,15,40.6519886021,-74.0073207741,495.0
s027,K137,23,40.6822455448,-73.9167199472,295.0
s025,K138,17,40.6741498628,-73.9513325326,679.0
s003,K139,22,40.6414032061,-73.9657381971,978.0
s096,K140,23,40.6560754293,-73.9069183075,256.0
s023,K141,17,40.6563949872,-73.9517628404,374.0
s011,K145,32,40.7015326266,-73.9322079133,709.0
s018,K146,15,40.6799013834,-74.0016848497,652.0
s056,K147,14,40.7051574854,-73.938852865,297.0
s073,K149,19,40.669417578,-73.8927606973,734.0
s027,K150,23,40.6685673411,-73.9050192478,184.0
s012,K151,32,40.6933771861,-73.9083111086,314.0
s003,K152,22,40.63265037,-73.9543502179,813.0
s050,K153,21,40.6011924329,-73.9599762187,565.0
s016,K154,15,40.6570673696,-73.9761280583,534.0
s027,K155,23,40.677606887,-73.9087152635,499.0
s026,K156,23,40.6657338984,-73.9181958106,751.0
s055,K157,14,40.6954165742,-73.9599499267,495.0
s073,K158,19,40.6725839356,-73.8850668363,613.0
s071,K159,19,40.6759890319,-73.869663647,841.0
s025,K161,17,40.6659614256,-73.9492237528,409.0
s011,K162,32,40.706719938,-73.9197371032,471.0
s059,K164,20,40.6371746319,-73.9858507572,590.0
s096,K165,23,40.6572202643,-73.910980557,408.0
s024,K167,17,40.669487926,-73.9343213937,55.0
s017,K169,15,40.6459385596,-74.0018658977,1624.0
s058,K170,20,40.6304466075,-74.0188379636,1016.0
s071,K171,19,40.6859333061,-73.8694468502,547.0
s017,K172,15,40.6577759174,-74.0003294571,587.0
s071,K174,19,40.6655794058,-73.897635447,42.0
s060,K176,20,40.624793613,-74.0052344502,1408.0
s050,K177,21,40.6084108019,-73.9744782801,953.0
s027,K178,23,40.6752301618,-73.9153570594,364.0
s059,K179,20,40.6402808329,-73.9772938384,939.0
s059,K180,20,40.6266845069,-73.9896021672,1116.0
s023,K181,17,40.6481960139,-73.94599101,846.0
s096,K184,23,40.6602081218,-73.9049447189,504.0
s058,K185,20,40.6236345637,-74.0335995451,663.0
s060,K186,20,40.6111311469,-73.9946065344,995.0
s059,K187,20,40.6278407443,-74.0039745512,999.0
s049,K188,21,40.5769421921,-74.0005153034,502.0
s024,K189,17,40.6654388744,-73.9256803658,1044.0
s071,K190,19,40.6624024655,-73.8947103362,176.0
s024,K191,17,40.6718013214,-73.9242085025,186.0
s059,K192,20,40.6290193635,-73.979887477,687.0
s099,K193,22,40.6217939843,-73.9502674342,866.0
s004,K194,22,40.597196316,-73.934034799,495.0
s004,K195,22,40.5798342383,-73.9435982591,458.0
s056,K196,14,40.7087700992,-73.9397236899,347.0
s099,K197,22,40.6125871132,-73.9515902814,613.0
s099,K198,22,40.6372065399,-73.937035126,476.0
s050,K199,21,40.6165149442,-73.9630875156,501.0
s060,K200,20,40.6030417831,-74.0016608772,1306.0
s060,K201,20,40.6186941118,-74.0131586363,1474.0
s073,K202,19,40.6661983804,-73.8763754487,492.0
s099,K203,22,40.6217154069,-73.9256904832,812.0
s060,K204,20,40.6138046774,-74.0065730851,1168.0
s060,K205,20,40.6149397793,-73.9870819653,1181.0
s004,K206,22,40.5972490975,-73.9485320512,1425.0
s099,K207,22,40.6136872573,-73.9301707151,1272.0
s021,K208,18,40.6423020377,-73.9308660015,445.0
s051,K209,21,40.5867418679,-73.9616665669,707.0
s097,K211,18,40.6432520156,-73.8958324131,590.0
s049,K212,21,40.5875623919,-73.9855979854,689.0
s072,K213,19,40.6602683404,-73.8902746226,360.0
s071,K214,19,40.6762700367,-73.8630646178,961.0
s050,K215,21,40.6023322706,-73.9700764303,932.0
s051,K216,21,40.5903227203,-73.9697086146,688.0
s003,K217,22,40.6337242404,-73.9664100109,1214.0
s073,K218,19,40.6703250905,-73.8744169665,419.0
s022,K219,18,40.6591339949,-73.9226285818,557.0
s059,K220,20,40.6408063012,-74.0009252677,1435.0
s024,K221,17,40.6639244833,-73.9360809578,401.0
s099,K222,22,40.6136810065,-73.9388523151,883.0
s059,K223,20,40.6348428303,-73.981996909,994.0
s073,K224,19,40.6648960583,-73.8659664515,505.0
s051,K225,21,40.5799053435,-73.9561031802,1018.0
s050,K226,21,40.6152149759,-73.9767904833,1006.0
s060,K227,20,40.6218816985,-73.99552958,1276.0
s050,K228,21,40.6010533083,-73.9768758962,1362.0
s060,K229,20,40.6106077749,-74.0132955486,1195.0
s017,K230,15,40.6453039534,-73.9804504827,1210.0
s059,K231,20,40.6268221557,-73.9894457873,337.0
s021,K233,18,40.6513917845,-73.914010871,511.0
s004,K234,22,40.6042426723,-73.9551884462,1988.0
s022,K235,18,40.6549422226,-73.9408764664,1274.0
s099,K236,22,40.6158845976,-73.9125799411,579.0
s050,K238,21,40.6087696008,-73.9647979436,556.0
s049,K239,21,40.5785059452,-73.9923781832,1340.0
s003,K240,22,40.623729941,-73.9465766982,828.0
s025,K241,17,40.6690261616,-73.9603930083,552.0
s098,K243,16,40.6758380292,-73.9355803122,272.0
s022,K244,18,40.6482052293,-73.9256498812,610.0
s003,K245,22,40.644945642,-73.9629141101,315.0
s023,K246,17,40.6485391948,-73.9530591958,476.0
s060,K247,20,40.6122327037,-73.9871440497,820.0
s023,K249,17,40.6497098698,-73.9663411195,894.0
s056,K250,14,40.7068727762,-73.9452649721,633.0
s099,K251,22,40.6312635131,-73.9240275119,597.0
s051,K253,21,40.5798870656,-73.9618507249,878.0
s004,K254,22,40.5907079942,-73.951474814,781.0
s003,K255,22,40.6041948899,-73.9557989967,920.0
s001,K256,13,40.690613416,-73.9496072372,291.0
s056,K257,14,40.7026832932,-73.94162196,666.0
s058,K259,20,40.6263438338,-74.0150481075,1617.0
s018,K261,15,40.6871975687,-73.9882633179,797.0
s098,K262,16,40.6831109382,-73.9295548458,437.0
s000,K265,13,40.6967560359,-73.9759484135,427.0
s002,K266,13,40.6787918865,-73.97641549,130.0
s019,K267,16,40.6880615265,-73.9327543038,182.0
s022,K268,18,40.6571392095,-73.9277071243,429.0
s003,K269,22,40.6377353549,-73.9478286424,390.0
s001,K270,13,40.6910976269,-73.9614317834,139.0
s097,K272,18,40.6356587295,-73.8861738327,494.0
s073,K273,19,40.6582412293,-73.8790574735,351.0
s011,K274,32,40.6945188654,-73.9278758078,503.0
s021,K276,18,40.6337677712,-73.9079955138,688.0
s099,K277,22,40.5959066875,-73.9280207692,442.0
s099,K278,22,40.6065523249,-73.9385678909,922.0
s097,K279,18,40.6441930612,-73.8926192002,478.0
s049,K281,21,40.5946180434,-73.9937745146,1160.0
s002,K282,13,40.6765593219,-73.9777433555,892.0
s026,K284,23,40.6668868107,-73.9075618298,535.0
s021,K285,18,40.6471647119,-73.9206242917,704.0
s000,K287,13,40.6980539235,-73.980868705,198.0
s051,K288,21,40.5742787026,-73.9922610386,601.0
s024,K289,17,40.6745152357,-73.9420148416,396.0
s071,K290,19,40.6781498242,-73.8895029279,591.0
s012,K291,32,40.6955012666,-73.9154344592,349.0
s072,K292,19,40.6715573131,-73.893300111,623.0
s016,K295,15,40.6610657368,-73.9888968351,489.0
s055,K297,14,40.6975897294,-73.9475776544,256.0
s026,K298,23,40.671017369,-73.907905178,216.0
s012,K299,32,40.6909621334,-73.9179180444,320.0
s001,K301,13,40.685829807,-73.9454216483,96.0
s051,K303,21,40.5823429607,-73.9725167589,499.0
s001,K305,13,40.6858628905,-73.9451335956,182.0
s072,K306,19,40.6554638877,-73.8865618354,579.0
s000,K307,13,40.7016115424,-73.9818317081,380.0
s020,K308,16,40.6884659708,-73.9358495065,361.0
s019,K309,16,40.6882439099,-73.9242428272,237.0
s072,K311,19,40.6621395709,-73.8946434051,124.0
s099,K312,22,40.6218023317,-73.9088655675,862.0
s000,K313,13,40.7016021619,-73.981525172,77.0
s003,K315,22,40.6329160972,-73.9544112227,720.0
s025,K316,17,40.6746523724,-73.9605080978,429.0
s055,K318,14,40.7028482034,-73.9487608421,1491.0
s057,K319,14,40.7096734245,-73.9540400085,140.0
s016,K321,15,40.6717295247,-73.9784190222,1459.0
s056,K322,14,40.6969309199,-73.9468523572,73.0
s026,K323,23,40.6665600599,-73.9111809718,443.0
s099,K326,22,40.6284037681,-73.9281560438,212.0
s026,K327,23,40.6684080366,-73.9120828027,527.0
s072,K328,19,40.6676506062,-73.8979456477,309.0
s049,K329,21,40.5746711018,-73.9959127536,420.0
s055,K330,14,40.6969000441,-73.9470652528,82.0
s024,K334,17,40.6724885532,-73.9375371873,82.0
s098,K335,16,40.6743173742,-73.9281946458,301.0
s002,K340,13,40.6763618371,-73.9703087254,203.0
s051,K344,21,40.5822967009,-73.9719360697,562.0
s073,K345,19,40.6762600225,-73.8800190491,644.0
s072,K346,19,40.6469796124,-73.8817463419,653.0
s011,K347,32,40.7008168858,-73.9276758903,303.0
s049,K348,21,40.5940030652,-73.9859318703,262.0
s011,K349,32,40.7012082343,-73.9273133983,304.0
s000,K350,13,40.6974414172,-73.9847550853,333.0
s023,K352,17,40.6650906391,-73.9594825785,188.0
s025,K353,17,40.6743549797,-73.9606001905,196.0
s024,K354,17,40.6724747493,-73.9372592638,202.0
s057,K355,14,40.7061276565,-73.9616573108,538.0
s024,K356,17,40.6620647861,-73.9367186157,1016.0
s024,K357,17,40.6722449348,-73.9372714342,787.0
s072,K358,19,40.6640695211,-73.8934503889,846.0
s072,K359,19,40.6712232121,-73.8931865943,362.0
s099,K361,22,40.6402931204,-73.9469976778,538.0
s016,K362,15,40.6629549027,-73.9920817659,494.0
s072,K364,19,40.645674527,-73.881985101,313.0
s055,K368,14,40.6968739417,-73.9472969271,219.0
s018,K369,15,40.687317562,-73.9833199477,631.0
s051,K370,21,40.577684218,-73.9697408665,230.0
s017,K371,15,40.6541682098,-74.0053092404,261.0
s018,K372,15,40.6764683602,-73.9852393909,208.0
s055,K373,14,40.6992591913,-73.9452034536,383.0
s025,K375,17,40.6648025841,-73.9596301638,454.0
s011,K376,32,40.6980200061,-73.9203878164,564.0
s012,K377,32,40.6938505388,-73.9149053832,447.0
s055,K380,14,40.7020277234,-73.9534477864,633.0
s099,K381,22,40.6127357805,-73.9516180403,310.0
s023,K382,17,40.6492777295,-73.9581265635,451.0
s011,K383,32,40.6976323154,-73.9194607869,951.0
s012,K384,32,40.6901009687,-73.9047257951,641.0
s020,K385,16,40.6914030137,-73.9334800565,60.0
s027,K392,23,40.6654636288,-73.9181167659,258.0
s019,K393,16,40.6918393855,-73.931689733,77.0
s024,K394,17,40.6728046744,-73.9283061755,571.0
s026,K396,23,40.6676242073,-73.9113773433,306.0
s024,K397,17,40.6587615911,-73.946416253,251.0
s024,K398,17,40.664041695,-73.9279757834,381.0
s023,K399,17,40.6482192767,-73.9519040037,481.0
s012,K403,32,40.69701695,-73.9114814395,309.0
s003,K405,22,40.6328259891,-73.9523233836,3986.0
s023,K408,17,40.6494508712,-73.9581708066,224.0
s073,K409,19,40.6612685409,-73.8867376553,491.0
s051,K410,21,40.5819035881,-73.968130634,2108.0
s001,K412,13,40.6915895781,-73.9584146431,379.0
s000,K419,13,40.6974346224,-73.9845107544,549.0
s004,K425,22,40.6099156037,-73.9480797786,3250.0
s018,K429,15,40.6852875715,-73.9936076016,223.0
s002,K430,13,40.6888453709,-73.9765922117,5534.0
s000,K439,13,40.6973027919,-73.9847595594,362.0
s018,K442,15,40.6803192096,-73.9918074983,217.0
s016,K443,15,40.6608896093,-73.9891071464,541.0
s060,K445,20,40.6133052465,-74.0030377761,3553.0
s018,K447,15,40.6838305963,-73.9804017334,525.0
s018,K448,15,40.6796539494,-74.0017893112,679.0
s056,K449,14,40.7049130864,-73.9387689941,664.0
s072,K452,19,40.646794771,-73.8815253694,308.0
s057,K454,14,40.7097930896,-73.9440853845,261.0
s098,K455,16,40.6788992877,-73.9315655866,383.0
s016,K462,15,40.6696178614,-73.9789287591,357.0
s016,K463,15,40.6693619902,-73.9791114959,222.0
s016,K464,15,40.6694397761,-73.9785781155,523.0
s049,K468,21,40.5938447648,-73.9856619978,592.0
s055,K473,14,40.7039071,-73.9360779567,972.0
s056,K474,14,40.7118460846,-73.9397321852,949.0
s056,K477,14,40.711979295,-73.9391747621,509.0
s056,K478,14,40.7121164265,-73.938612173,913.0
s000,K483,13,40.6945074674,-73.9883561568,459.0
s026,K484,23,40.6732481987,-73.9198067741,141.0
s058,K485,20,40.6367922125,-74.0233491552,1277.0
s057,K488,14,40.7156787749,-73.9553296751,513.0
s025,K489,17,40.6695487629,-73.9551404927,113.0
s058,K490,20,40.6272161786,-74.0394328325,4408.0
s000,K492,13,40.6912129214,-73.971155396,515.0
s027,K493,23,40.6744051033,-73.9134868277,307.0
s004,K495,22,40.5935835594,-73.9369251912,233.0
s018,K497,15,40.6851447863,-73.9932134005,486.0
s019,K498,16,40.6885395658,-73.9208186054,650.0
s002,K499,13,40.6786011633,-73.9617600362,373.0
s072,K502,19,40.6670506307,-73.8949912787,334.0
s058,K503,20,40.6419670779,-74.0191645688,1110.0
s072,K504,19,40.666716003,-73.8948892936,293.0
s059,K505,20,40.6209074827,-73.9818202692,3177.0
s058,K506,20,40.6421472283,-74.0194965857,831.0
s072,K507,19,40.6670100413,-73.8953184056,441.0
s002,K508,13,40.6825773307,-73.9659613471,1002.0
s072,K510,19,40.6666717057,-73.8952261878,251.0
s026,K514,23,40.6655735929,-73.9121876673,252.0
s001,K517,13,40.6819514306,-73.9453656028,772.0
s096,K518,23,40.656121623,-73.9066021943,192.0
s018,K519,15,40.6847213255,-73.9909931473,589.0
s027,K522,23,40.6779836511,-73.9149817117,182.0
s025,K524,17,40.6701217935,-73.9613698884,417.0
s050,K525,21,40.6201696589,-73.9592184091,3885.0
s000,K527,13,40.6947375195,-73.9883598185,476.0
s025,K528,17,40.6700567492,-73.9610341488,231.0
s017,K529,15,40.6428050824,-73.9925581549,223.0
s024,K531,17,40.6595097065,-73.9431651479,407.0
s024,K533,17,40.6591807975,-73.9431384355,292.0
s020,K534,16,40.6912877769,-73.9409190037,87.0
s004,K535,22,40.5802524697,-73.9351260988,1047.0
s000,K536,13,40.6955007775,-73.977911745,458.0
s023,K537,17,40.649662012,-73.9582039381,394.0
s023,K539,17,40.6498562404,-73.9581760964,412.0
s049,K540,21,40.5879286597,-73.9817748909,2225.0
s023,K543,17,40.6492818549,-73.9578604513,526.0
s011,K545,32,40.6946770116,-73.9292582957,520.0
s023,K546,17,40.6584448561,-73.9430634843,467.0
s025,K547,17,40.6698296305,-73.9614500043,427.0
s025,K548,17,40.6697645919,-73.9611302555,352.0
s012,K549,32,40.6971672635,-73.9117535908,385.0
s012,K552,32,40.6968062874,-73.9117399815,227.0
s001,K553,13,40.684737601,-73.9474228936,163.0
s012,K554,32,40.6974909867,-73.9138577007,385.0
s003,K555,22,40.6305025782,-73.9532198605,596.0
s012,K556,32,40.6951603426,-73.9276167776,274.0
s057,K558,14,40.7154498142,-73.9549740372,573.0
s049,K559,21,40.5937150554,-73.9862309031,289.0
s057,K561,14,40.7152047231,-73.9545802924,680.0
s022,K563,18,40.6481980792,-73.9228447655,608.0
s012,K564,32,40.6957790658,-73.9152028062,244.0
s021,K566,18,40.6334297352,-73.9173698282,234.0
s021,K567,18,40.633175511,-73.9177762796,374.0
s024,K568,17,40.6662723606,-73.9239137217,163.0
s022,K569,18,40.6482220949,-73.9222680118,357.0
s049,K572,21,40.5935535914,-73.9859693365,283.0
s001,K575,13,40.6846846192,-73.9477982349,152.0
s021,K576,18,40.633654015,-73.9169634109,339.0
s057,K577,14,40.715386873,-73.9571901898,506.0
s021,K578,18,40.6338833029,-73.9165831873,219.0
s022,K581,18,40.6588857602,-73.928943466,129.0
s056,K582,14,40.7089694302,-73.939565446,246.0
s071,K583,19,40.6928037308,-73.8685837713,208.0
